title,region,category,canonical_url,source_id,views,sales,engagement,growth_rate,commission_rate,margin,competitor_count
【冠军代言】BUV绿泥洗面奶控油细腻毛孔清洁黑头闭口男女通用,CN,美妆护肤,,chanmama-001,100000,75000,612370,0.075,0.05,,
【早抗糖 晚防蛀】兔头妈妈奥拉氟防蛀牙膏抗糖防蛀牙膏儿童牙膏ch,CN,母婴用品,,chanmama-002,75000,75000,607747,0,0,,
麦醉侠 湿凉皮7袋*310g/袋红油麻酱凉皮开袋即食现做现发,CN,食品饮料,,chanmama-003,100000,75000,174631,0.125,0.24,,
编码【D066-D166】韩国 新款 T恤设,CN,服饰内衣,,chanmama-004,37500,37500,201718,0,0,,
（手撕牛轧饼干）郑马青云咸香酥脆香葱牛轧夹心饼干追剧解馋零食,CN,食品饮料,,chanmama-005,100000,37500,220608,0.275,0,,
黑森灵【植物配方 去渍白牙】草本牙粉青盐深层清洁蓝莓,CN,口腔护理,,chanmama-006,37500,37500,310696,0.30,0,,
【苗总补贴】国标品质高定小苏打皂,CN,家居日用,,chanmama-007,100000,37500,66654,0.30,0.05,,
JM肌司研进口紫苏急救面膜升级补水保湿护肤贴片1盒,CN,美妆护肤,,chanmama-008,37500,37500,717126,0.30,0.05,,
HERBSTRONG 梨果仙人掌片,CN,营养保健,,chanmama-009,37500,37500,326707,0,0.05,,
帝伯朗浮光0氟不粘锅32CM 全炉灶通用,CN,厨房用品,,chanmama-010,37500,37500,1447386,0.075,0.05,,
